"comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","player_market_value_euro","player_url"
"Premier League","Europe","England",2020,"Liverpool FC","1","Alisson","Goalkeeper",1992-10-02,28,"Brazil",8e+07,"https://www.transfermarkt.com/alisson/profil/spieler/105470"
"Premier League","Europe","England",2020,"Liverpool FC","13","Adrián","Goalkeeper",1987-01-03,34,"Spain",2e+06,"https://www.transfermarkt.com/adrian/profil/spieler/71271"
"Premier League","Europe","England",2020,"Liverpool FC","62","Caoimhin Kelleher","Goalkeeper",1998-11-23,22,"Ireland",2e+06,"https://www.transfermarkt.com/caoimhin-kelleher/profil/spieler/340918"
"Premier League","Europe","England",2020,"Liverpool FC","4","Virgil van Dijk","Centre-Back",1991-07-08,29,"Netherlands",8e+07,"https://www.transfermarkt.com/virgil-van-dijk/profil/spieler/139208"
"Premier League","Europe","England",2020,"Liverpool FC","12","Joe Gomez","Centre-Back",1997-05-23,23,"England",4e+07,"https://www.transfermarkt.com/joe-gomez/profil/spieler/256178"
"Premier League","Europe","England",2020,"Liverpool FC","32","Joel Matip","Centre-Back",1991-08-08,29,"Cameroon",3.2e+07,"https://www.transfermarkt.com/joel-matip/profil/spieler/82105"
"Premier League","Europe","England",2020,"Liverpool FC","19","Ozan Kabak","Centre-Back",2000-03-25,20,"Turkey",2.5e+07,"https://www.transfermarkt.com/ozan-kabak/profil/spieler/361260"
"Premier League","Europe","England",2020,"Liverpool FC","46","Rhys Williams","Centre-Back",2001-02-03,20,"England",5e+06,"https://www.transfermarkt.com/rhys-williams/profil/spieler/503679"
"Premier League","Europe","England",2020,"Liverpool FC","28","Ben Davies","Centre-Back",1995-08-11,25,"England",2400000,"https://www.transfermarkt.com/ben-davies/profil/spieler/257097"
"Premier League","Europe","England",2020,"Liverpool FC","47","Nathaniel Phillips","Centre-Back",1997-03-21,23,"England",1800000,"https://www.transfermarkt.com/nathaniel-phillips/profil/spieler/371814"
"Premier League","Europe","England",2020,"Liverpool FC","26","Andrew Robertson","Left-Back",1994-03-11,26,"Scotland",7.5e+07,"https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803"
"Premier League","Europe","England",2020,"Liverpool FC","21","Konstantinos Tsimikas","Left-Back",1996-05-12,24,"Greece",9e+06,"https://www.transfermarkt.com/konstantinos-tsimikas/profil/spieler/338070"
"Premier League","Europe","England",2020,"Liverpool FC","66","Trent Alexander-Arnold","Right-Back",1998-10-07,22,"England",1.1e+08,"https://www.transfermarkt.com/trent-alexander-arnold/profil/spieler/314353"
"Premier League","Europe","England",2020,"Liverpool FC","76","Neco Williams","Right-Back",2001-04-13,19,"Wales",1e+07,"https://www.transfermarkt.com/neco-williams/profil/spieler/503680"
"Premier League","Europe","England",2020,"Liverpool FC","3","Fabinho","Defensive Midfield",1993-10-23,27,"Brazil",6e+07,"https://www.transfermarkt.com/fabinho/profil/spieler/225693"
"Premier League","Europe","England",2020,"Liverpool FC","6","Thiago","Central Midfield",1991-04-11,29,"Spain",4.8e+07,"https://www.transfermarkt.com/thiago/profil/spieler/60444"
"Premier League","Europe","England",2020,"Liverpool FC","5","Georginio Wijnaldum","Central Midfield",1990-11-11,30,"Netherlands",4e+07,"https://www.transfermarkt.com/georginio-wijnaldum/profil/spieler/49499"
"Premier League","Europe","England",2020,"Liverpool FC","8","Naby Keïta","Central Midfield",1995-02-10,26,"Guinea",4e+07,"https://www.transfermarkt.com/naby-keita/profil/spieler/302215"
"Premier League","Europe","England",2020,"Liverpool FC","14","Jordan Henderson","Central Midfield",1990-06-17,30,"England",2.8e+07,"https://www.transfermarkt.com/jordan-henderson/profil/spieler/61651"
"Premier League","Europe","England",2020,"Liverpool FC","15","Alex Oxlade-Chamberlain","Central Midfield",1993-08-15,27,"England",2.4e+07,"https://www.transfermarkt.com/alex-oxlade-chamberlain/profil/spieler/143424"
"Premier League","Europe","England",2020,"Liverpool FC","17","Curtis Jones","Central Midfield",2001-01-30,20,"England",1.7e+07,"https://www.transfermarkt.com/curtis-jones/profil/spieler/433188"
"Premier League","Europe","England",2020,"Liverpool FC","7","James Milner","Central Midfield",1986-01-04,35,"England",5e+06,"https://www.transfermarkt.com/james-milner/profil/spieler/3333"
"Premier League","Europe","England",2020,"Liverpool FC","58","Ben Woodburn","Attacking Midfield",1999-10-15,21,"Wales",4500000,"https://www.transfermarkt.com/ben-woodburn/profil/spieler/344015"
"Premier League","Europe","England",2020,"Liverpool FC","10","Sadio Mané","Left Winger",1992-04-10,28,"Senegal",1.2e+08,"https://www.transfermarkt.com/sadio-mane/profil/spieler/200512"
"Premier League","Europe","England",2020,"Liverpool FC","20","Diogo Jota","Left Winger",1996-12-04,24,"Portugal",4e+07,"https://www.transfermarkt.com/diogo-jota/profil/spieler/340950"
"Premier League","Europe","England",2020,"Liverpool FC","11","Mohamed Salah","Right Winger",1992-06-15,28,"Egypt",1.2e+08,"https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455"
"Premier League","Europe","England",2020,"Liverpool FC","23","Xherdan Shaqiri","Right Winger",1991-10-10,29,"Switzerland",1.6e+07,"https://www.transfermarkt.com/xherdan-shaqiri/profil/spieler/86792"
"Premier League","Europe","England",2020,"Liverpool FC","9","Roberto Firmino","Centre-Forward",1991-10-02,29,"Brazil",7.2e+07,"https://www.transfermarkt.com/roberto-firmino/profil/spieler/131789"
"Premier League","Europe","England",2020,"Liverpool FC","27","Divock Origi","Centre-Forward",1995-04-18,25,"Belgium",1.6e+07,"https://www.transfermarkt.com/divock-origi/profil/spieler/148368"
"Premier League","Europe","England",2020,"Manchester City","31","Ederson","Goalkeeper",1993-08-17,27,"Brazil",5.6e+07,"https://www.transfermarkt.com/ederson/profil/spieler/238223"
